Фраза,Показы,Пиллар,Интент,Тип,Сид,Asset,Статус,Приоритет,ЦелевойURL,Причина
как поступить в колледж,63292,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
все профессии,61972,0,info,assoc,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
профессии будущего,60698,E,info,top,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
теста профориентацию,57405,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
красноярский техникум,57214,C,info,assoc,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
красноярский колледж,51246,C,info,assoc,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
9 классов какое образование,51221,C,info,assoc,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда можно поступить после 11,51103,C,info,assoc,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
список профессий,50640,E,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
поступить в колледж после 9 класса,49912,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
11 классов какое образование,46678,C,info,assoc,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
образование после колледжа,43963,C,info,assoc,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
спо образование,43011,C,info,assoc,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
что такое вуз,41405,C,info,assoc,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступить с обществознанием,37332,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
поступить в колледж баллы,35573,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
куда можно поступить после 11 класса,34573,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
выбор профессии,32837,B,info,assoc,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
поступить в медицинский колледж,31641,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
куда поступить после колледжа,31625,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
тест на профессию,31473,D,info,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
поступить в колледж 11 класса,31324,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
колледж какое образование,31295,C,info,assoc,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
образование техникум,28625,C,info,assoc,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить с биологией,28109,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
тестирование это,27527,D,info,assoc,d04_projti_test,main,Использовать существующую,P1,/test/,Транзакционный «пройти тест» → квиз
какие профессии востребованы,26386,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
после 9 можно поступить в колледж,26043,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
колледжи тюмень 9,25763,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
колледжи перми после 9,24926,C,info,top,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
техникумы иркутска,24651,C,info,assoc,g05_kolledzhi_irkutsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
профессии после 11 класса,24275,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
списки поступающих в колледж,23658,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
9 классов образования это какое образование,23173,C,info,assoc,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
техникумы воронежа,23074,C,info,assoc,g03_kolledzhi_voronezh,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
колледж пермь официальный,22664,C,info,top,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
11 классов это какое образование,22370,C,info,assoc,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
можно после 9 класса поступить в колледж,22303,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
тест на ориентацию,21825,D,info,assoc,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
на кого можно поступить после 9,21733,C,info,assoc,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
востребованные профессии 2026,21700,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
специальности в колледжах после 9 класса,21612,C,info,top,c06_specialnosti_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (специальности после 9)
колледжи тюмень 9 класс,21567,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
колледж 9 красноярск,21244,C,info,top,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
сайты колледжей перми,21214,C,info,top,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
профессии для детей,21141,A,info,assoc,a04_prof_dlya_rebenka,main,Расширить (раздел хаба),P1,/roditelyam/,Профессии для ребёнка (контент)
колледжи 9 класса пермь,21107,C,info,top,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
куда можно поступить с обществознанием,20740,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
колледж пермь официальный сайт,20707,C,info,top,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
после какого можно поступить в колледж,20530,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
куда поступать с химией,20368,C,info,top,c14_s_himiej,main,Создана посадочная,P3,/kuda-postupat-s-himiej/,Перечень Минобрнауки → направления (готово)
моя профессия,20144,0,info,assoc,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
куда поступить девушке,19643,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
самые высокооплачиваемые профессии,19589,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
куда поступать с историей,18780,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
профессии после 9 класса для девушек,18527,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
на кого пойти учиться,18480,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
техникум это,18349,C,info,assoc,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
колледж тюмень официальный,17884,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
самые востребованные профессии,17617,E,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
после какого класса поступают в колледж,17500,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
поступление в вуз после колледжа,17343,C,info,assoc,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда можно поступить после колледжа,17321,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
сайт колледжей тюмени,17202,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
колледж красноярск 9 класс,17199,C,info,top,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
поступить в колледж без егэ,16783,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
школа профессий,16736,C,info,assoc,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
колледж тюмень официальный сайт,16671,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
кем можно стать,16390,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
куда можно поступить с биологией,16312,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
какую профессию выбрать,16130,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
колледжи иркутска после 9,16082,C,info,top,g05_kolledzhi_irkutsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
онлайн тестирование,15520,D,commercial,assoc,d03_test_online,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Онлайн» → квиз
колледжи воронежа после 9,15510,C,info,top,g03_kolledzhi_voronezh,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
востребованные профессии в россии,15482,E,info,top,e02_vostrebovannye,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных о спросе (hh заблокирован) — не ранжируем
кем пойти работать,15201,B,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
куда поступать девушкам после 9,14601,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступить 9 класса девушке,14216,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступить с русским и обществознанием,14176,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
куда поступать после 9 класса девушке,14147,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
колледж иркутск 9 классов,14063,C,info,top,g05_kolledzhi_irkutsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
поступил в колледж на специальность,13825,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
после 11 можно поступить в колледж,13472,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
в колледж можно поступить на бюджет,13364,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
в какой колледж поступить после 9,13306,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
колледжи воронежа 9 класс,13196,C,info,top,g03_kolledzhi_voronezh,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
куда поступить после 9 класса на бюджет,12914,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
техникум тюмень,12599,C,info,assoc,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
какое образование после 11,12440,C,info,assoc,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда поступать с географией,12403,C,info,top,c16_s_geografiej,main,Создана посадочная,P3,/kuda-postupat-s-geografiej/,Перечень Минобрнауки → направления (готово)
it специальности,12262,C,info,assoc,c13_s_informatikoj,main,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
куда поступать после 11 с обществознанием,12250,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
куда поступать с физикой,12246,C,info,top,c15_s_fizikoj,main,Создана посадочная,P3,/kuda-postupat-s-fizikoj/,Перечень Минобрнауки → направления (готово)
айти специальности,12210,C,info,assoc,c13_s_informatikoj,main,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
куда поступить с информатикой,12094,C,info,top,c13_s_informatikoj,main,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
колледж тиу тюмень,12073,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
медицинский колледж тюмень,11956,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
тест на прл,11739,D,info,assoc,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
на кого поступать после 11,11718,C,info,assoc,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
после колледжа можно поступить в институт,11501,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
сайты колледжи красноярска,11333,C,info,top,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
можно поступить в колледж после 11 класса,11317,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
куда можно поступить с химией,11206,C,info,top,c14_s_himiej,main,Создана посадочная,P3,/kuda-postupat-s-himiej/,Перечень Минобрнауки → направления (готово)
колледж технологий тюмень,11157,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
поступают ли в колледж после вуза,10952,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
в какой колледж поступить после 9 класса,10905,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
куда поступать с химией и биологией,10836,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
колледжи красноярск официальный сайт,10832,C,info,top,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
поступить после 9 класса профессии,10778,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
тест на профориентацию бесплатно,10749,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
куда поступить после 9 класса мальчику,10730,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
можно поступить в колледж без егэ,10633,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
колледж 11 тюмень,10610,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
поступить в колледж в москве,10602,C,info,top,c05_postupit_v_kolledzh,aggregator,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
в колледж поступить экзамены,10447,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
куда можно поступить с историей,10415,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
тест янга,10412,D,info,assoc,d07_test_gollanda,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-gollanda/,Именованная методика (RIASEC — рабочее название)
после какого класса можно поступить в колледж,10311,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
список профессий после 9,10222,C,info,top,e01_professii_spisok,main,Расширить существующую,P0,/professiya/,Каталог 436 профессий — данные есть
куда поступить с математикой и обществознанием,10211,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
какая профессия мне подходит,10201,B,info,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
аэрокосмический колледж красноярск,10174,C,info,top,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
профориентация онлайн,10073,0,commercial,top,d06_test_na_vybor_professii,main,Использовать существующую,P1,/test/,Прямой интент квиза
техникум какое образование,9981,C,info,assoc,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
куда можно поступить девушке,9970,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
красноярском колледже сферы услуг и предпринимательства,9966,C,commercial,top,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
9 класса список профессий,9907,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
поступил учиться в колледж,9868,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
поступают ли в колледж после 11,9681,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
как выбрать профессию,9633,B,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
тест кто ты из уцц,9553,D,info,assoc,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
где поступить в колледж,9408,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
пермский колледж пермь,9368,C,info,top,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
тесто для эклеров,9365,D,info,assoc,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
тест на умение располагать к себе,9260,D,info,assoc,p06_projti_proforientaciyu,main,Использовать существующую,P1,/test/,Транзакционный «пройти» → квиз
ребенок поступил в колледж,9163,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
поступать ли в медицинский колледж,8977,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
тюменский колледж тюмень,8928,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
куда можно поступить с обществознанием и русским,8908,C,info,top,c10_s_obschestvoznaniem,main,Создана посадочная,P3,/kuda-postupat-s-obshchestvoznaniem/,Перечень Минобрнауки → направления (готово)
после колледжа можно поступить в университет,8861,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
что такое специальность,8859,B,info,assoc,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
красноярски монтажный колледж,8826,C,info,top,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
аттестационная работа,8808,D,info,assoc,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
кем можно пойти работать,8764,B,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
уунит специальности,8754,E,info,assoc,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
какие профессии можно после 9 класса,8726,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
виды тестирования,8687,D,info,assoc,d06_test_na_vybor_professii,main,Использовать существующую,P1,/test/,Прямой интент квиза
интересные профессии,8666,0,info,assoc,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
колледжи красноярска 11,8600,C,info,top,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
класс профориентации,8554,0,info,top,p01_proforientaciya,main,Создать новый контент-хаб,P1,/proforientaciya/,Хаб профориентации → /test/
куда поступить с биологией и русским,8528,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
куда поступить после 9 класса девочке,8442,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
